platform,audit_round,audit_name,verdict,attack_question,evidence,failure_mode,final_control
교보,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_after_amount_policy:1, parser=single_header_with_leading_merged_title",4월 샘플 없음. 판매가/정산대상판매가총액 중 판매금액 기준 확정 필요.,adapter_contract=single_header_with_leading_merged_title; sheet_rule=Sheet1; exclude=-
교보,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=정산대상판매가총액 또는 판매가 x 판매수량; settle=정산액; offset=없음 확인 필요; amount_status=needs_reconcile,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,대표월 fixture + 판매금액 산식 확정 전 S2 출력 금지
교보,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=대표월 fixture + 판매금액 산식 확정 전 S2 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
구글,1,헤더/구조 치환 감리,caution_or_fail_generic_rename,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=2, actions=special_parser_only:2, parser=google_transaction_fixed_columns",영문 transaction report라 일반 alias 치환 불가.,adapter_contract=google_transaction_fixed_columns; sheet_rule=GoogleSalesTransactionReport; exclude=-
구글,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=Publisher Revenue / Payment Amount 후보; settle=법인세 차감 후 금액 또는 Publisher Revenue 후보; offset=미국 원천징수세 / 법인세 차감액 후보; amount_status=needs_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,Google 금액 기준 확정 + 외화/세금 처리 전 S2 출력 금지
구글,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=Google 금액 기준 확정 + 외화/세금 처리 전 S2 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
네이버,1,헤더/구조 치환 감리,caution_or_fail_generic_rename,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=2, actions=special_parser_only:2, parser=two_row_merged_header_flatten",병합 헤더 문맥 없이는 금액 의미가 무너짐.,"adapter_contract=two_row_merged_header_flatten; sheet_rule=contentsSelling_*; exclude=복사본, 중복 통합본은 review gate"
네이버,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,"sale=합계; settle=정산금액 있는 그룹만 직접 후보, 그 외 정책 필요; offset=마켓수수료(추정치) / 유상 이용권 보정; amount_status=needs_policy",금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지
네이버,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
노벨피아,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_after_amount_policy:1, parser=single_header",판매금액/판매합계/취소금액 처리 방식 필요.,adapter_contract=single_header; sheet_rule=일별 정산; exclude=-
노벨피아,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매합계 또는 판매금액; settle=정산금액; offset=취소금액; amount_status=needs_cancel_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,취소금액 처리 정책 확정 후 S2 출력
노벨피아,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=취소금액 처리 정책 확정 후 S2 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
로망띠끄,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=3, actions=include_candidate_after_rescan:3, parser=single_header_row5_with_merged_banner",4월 샘플 없음. 헤더 row 5 고정 여부 확인 필요.,adapter_contract=single_header_row5_with_merged_banner; sheet_rule=styleB(바로북)*; exclude=-
로망띠끄,2,금액 의미 감리,candidate_after_reconcile,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매액; settle=정산액; offset=없음 확인 필요; amount_status=candidate_confirmed_after_reconcile,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,대표월 fixture + 총액 reconcile 후 출력
로망띠끄,3,실행 안전 감리,allowed_only_after_reconcile_and_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=대표월 fixture + 총액 reconcile 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
리디북스,1,헤더/구조 치환 감리,caution_or_fail_generic_rename,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_after_amount_policy:1, parser=wide_single_header_limited_columns",대용량 wide schema. 취소/앱마켓 컬럼이 많아 단순 합산 위험.,adapter_contract=wide_single_header_limited_columns; sheet_rule=calculate_1 및 리디 정산상세 시트; exclude=-
리디북스,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매액 + 단권/세트/대여 판매액 후보; settle=정산액 / 앱마켓 정산대상액 후보; offset=취소액 / 앱마켓 수수료 / 앱마켓 취소액; amount_status=needs_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,판매/취소/앱마켓 산식 확정 전 S2 출력 금지
리디북스,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=판매/취소/앱마켓 산식 확정 전 S2 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
모픽,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=4, actions=include_after_amount_policy:4, parser=single_header_variants",외부 ID가 없어 제목 매칭 의존.,adapter_contract=single_header_variants; sheet_rule=작품별정산; exclude=-
모픽,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=총 매출액 또는 순 매출액; settle=정산액; offset=총 매출액-순 매출액 후보; amount_status=needs_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,총/순 매출 기준 확정 후 S2 출력
모픽,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=총/순 매출 기준 확정 후 S2 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
무툰,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=2, actions=include_after_amount_policy:2, parser=merged_header_coin_table",코인을 원화 판매금액으로 단정하면 안 됨.,adapter_contract=merged_header_coin_table; sheet_rule=Sheet; exclude=-
무툰,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=합계 / 사용코인 후보; settle=정산총액 또는 정산금액; offset=공제수수료 / 취소코인; amount_status=needs_coin_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지
무툰,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
문피아,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_after_amount_policy:1, parser=single_header_limited_columns",IOS/Google 매출이 총매출에 포함인지 검산 필요.,adapter_contract=single_header_limited_columns; sheet_rule=다우인큐브; exclude=-
문피아,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=총매출; settle=정산; offset=구매취소 / 대여취소; amount_status=needs_cancel_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,취소/IOS/Google 포함 여부 확정 후 S2 출력
문피아,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=취소/IOS/Google 포함 여부 확정 후 S2 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
미소설,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=2, actions=include_after_amount_policy:2, parser=single_header_variants",수익률은 금액이 아니므로 정산기준액으로 쓰면 안 됨.,adapter_contract=single_header_variants; sheet_rule=cpexcel*; exclude=확장체크/사람가공 파일은 fixture 제외
미소설,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=전체매출(원); settle=총지급액(원) 또는 지급액(원) ASP; offset=결제수수료(원); amount_status=needs_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,지급액 컬럼 선택 기준 확정 후 S2 출력
미소설,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=지급액 컬럼 선택 기준 확정 후 S2 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
미스터블루,1,헤더/구조 치환 감리,caution_or_fail_generic_rename,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=2, actions=include_after_amount_policy:1; include_for_detail_or_reconcile_only:1, parser=sheet_whitelist_workbook",작품별/볼륨별 2시트 구조. 정산기준액 후보가 약함.,"adapter_contract=sheet_whitelist_workbook; sheet_rule=작품별 우선, 볼륨별은 검산/보조 후보; exclude=정산기준 없는 보조 시트는 출력 제외"
미스터블루,2,금액 의미 감리,blocked,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=작품별 합계(정액+종량) / 볼륨별 소계 후보; settle=정산기준액 후보 없음. 정책 필요; offset=없음 확인 필요; amount_status=blocked_until_settlement_basis,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,정산기준액 정의 전 S2 출력 금지
미스터블루,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=정산기준액 정의 전 S2 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
밀리의서재,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=2, actions=include_candidate_after_rescan:2, parser=single_header_variants",콘텐츠명 중복/에피소드명 존재. 집계 키 결정 필요.,adapter_contract=single_header_variants; sheet_rule=list; exclude=-
밀리의서재,2,금액 의미 감리,candidate_after_reconcile,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=발생 금액; settle=정산 예정 금액 / 정산 금액; offset=없음 확인 필요; amount_status=candidate_confirmed_after_reconcile,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,에피소드명 집계 단위 확정 + 총액 reconcile 후 출력
밀리의서재,3,실행 안전 감리,allowed_only_after_reconcile_and_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=에피소드명 집계 단위 확정 + 총액 reconcile 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
보인&국립장애인도서관,1,헤더/구조 치환 감리,blocked_structure_or_source_type,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=2, actions=blocked_non_s2_source:2, parser=purchase_selection_list",정산상세라기보다 구매/목록선정 자료.,adapter_contract=purchase_selection_list; sheet_rule=없음; exclude=목록선정*
보인&국립장애인도서관,2,금액 의미 감리,blocked,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매가 / 구매비; settle=정산기준액 없음; offset=없음; amount_status=blocked_non_sales,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,S2 판매상세가 아니라 구매/목록선정 자료로 판단. 기본 출력 금지
보인&국립장애인도서관,3,실행 안전 감리,s2_output_forbidden,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=S2 판매상세가 아니라 구매/목록선정 자료로 판단. 기본 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
부커스,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_after_amount_policy:1, parser=single_header_with_duplicate_file_filter",판매금액 직접 컬럼 없음. 복사본 중복 위험.,adapter_contract=single_header_with_duplicate_file_filter; sheet_rule=CP 콘텐츠별 정산; exclude=- 복사본 파일 제외
부커스,2,금액 의미 감리,needs_policy,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=정가 x 열람 횟수 후보; settle=정산 금액(원); offset=정산율 기반 파생 후보; amount_status=needs_derived_sale_policy,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,판매금액 파생식 확정 전 S2 출력 금지
부커스,3,실행 안전 감리,blocked_until_policy_then_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=판매금액 파생식 확정 전 S2 출력 금지,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
북큐브,1,헤더/구조 치환 감리,pass_with_fixture,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=1, actions=include_candidate_after_rescan:1, parser=single_header_row2",4월 샘플 없음. 할인/수수료 컬럼을 상계로 보낼지 정책 필요.,adapter_contract=single_header_row2; sheet_rule=Sheet1; exclude=-
북큐브,2,금액 의미 감리,candidate_after_reconcile,판매금액/정산기준액/상계금액 의미가 확정됐는가?,sale=판매액; settle=정산액 / 정산대상금액; offset=할인 / 수수료; amount_status=candidate_confirmed_after_reconcile,금액 후보를 이름만 보고 S2 컬럼으로 보내면 과대/과소/중복/세전세후 오류 가능,대표월 fixture + 할인/수수료 상계 기준 확정 후 출력
북큐브,3,실행 안전 감리,allowed_only_after_reconcile_and_match_gate,파싱/매칭 성공 행을 바로 S2로 내보내도 되는가?,final_gate=대표월 fixture + 할인/수수료 상계 기준 확정 후 출력,schema_status/row_status/amount_rule_status/match_status 중 하나라도 빠지면 잘못된 S2 전송자료 생성,"S2 hard gate: schema_status=parsed, row_status=data, amount_rule_status confirmed 계열, match_status=matched, 판매채널콘텐츠ID 존재"
북팔,1,헤더/구조 치환 감리,caution_or_fail_generic_rename,헤더 alias rename만으로 표준 필드를 만들 수 있는가?,"groups=3, actions=exclude_aux_or_summary:1; include_candidate:2, parser=sheet_whitelist_plus_legacy_exclusion",일부 Sheet는 정산 안내문이라 데이터로 먹이면 사고.,"adapter_contract=sheet_whitelist_plus_legacy_exclusion; sheet_rule=마켓, 날짜범위 시트; exclude=Sheet 안내문/전자계산서 본문 시트 제외"
