batch,platform,overall_interpretation_label,sheet_count,schema_signature_count,top_signature_counts,header_row_distribution,sheet_name_distribution,month_tokens,origin_variant_notes,human_or_aux_notes,filename_human_work_hints,aux_sheet_examples
1/3,네이버,uncertain_mixed_origin_and_human_or_aux_signal,71,2,컨텐츠|컨텐츠no|공급자코드|cp명|작가명|출판사|나이제한|서비스일|대여권|소장권|쿠키로대여|쿠키로구매|i쿠키로대여|i쿠키로구매|자동충전쿠키로대여|자동충전쿠키로구매|구글쿠키로대여|구글쿠키로구매|구글외부쿠키로대여|구글외부쿠키로구매|원스토어쿠키로대여|원스토어쿠키로구매|리딤쿠키로대여|리딤쿠키로구매|유상이용권보정|마켓수수료추정치|합계:67 | 컨텐츠|컨텐츠no|공급자코드|cp명|작가명|출판사|나이제한|서비스일|대여권|소장권|쿠키로대여|쿠키로구매|i쿠키로대여|i쿠키로구매|자동충전쿠키로대여|자동충전쿠키로구매|구글쿠키로대여|구글쿠키로구매|구글외부쿠키로대여|구글외부쿠키로구매|원스토어쿠키로대여|원스토어쿠키로구매|리딤쿠키로대여|리딤쿠키로구매|유상이용권보정|마켓수수료추정치|합계|정산금액:4,3:71,contentsSelling_2026-04-03:9 | contentsSelling_2026-05-06:9 | contentsSelling_2026-02-04:7 | contentsSelling_2026-01-06:7 | contentsSelling_2026-03-04:7 | contentsSelling_2025-10-10:5 | contentsSelling_2025-11-04:4 | contentsSelling_2025-12-03:4,3월:10 | 2026년3월:10 | 9월:9 | 2025년9월:9 | 2월:9 | 2026년2월:9 | 4월:9 | 2026년4월:9 | 1월:7 | 2026년1월:7 | 10월:7 | 2025년10월:7,원형/시트 그룹 2종 | 병합 셀 템플릿 존재,파일명에 사람 작업 가능성 단서 존재,네이버\1월\선투자\2026년 1월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\25년\10월\선투자\2025년 10월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\25년\11월\선투자\2025년 11월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\25년\12월\선투자\2025년 12월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\25년\9월\2025년 9월 네이버 장르 정산상세_2차.xlsx (2차) || 네이버\25년\9월\선투자\2025년 9월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\2월\선투자\2026년 2월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\3월\2026년 3월 네이버 연재 정산상세 - 복사본.xlsx (복사) || 네이버\3월\선투자\2026년 3월 네이버 선투자 정산상세(통합).xlsx (통합) || 네이버\4월\선투자\2026년 4월 네이버 선투자 정산상세(통합).xlsx (통합),
1/3,조아라,origin_variant,39,5,작품명|작품코드|작가명|단가|판매건수|비율|정산금액|정산일:16 | 작품명|작가명|판매건수|비율|정산금액|정산일:14 | 작품명|작가명|금액|비율|정산금액|정산일:5 | 작품명|분류|작가명|이용권|5kb조회수|10kb조회수|정산금액|정산일:2 | 작품명|작품코드|작가명|판매건수|비율|정산금액|정산일:2,1:39,작품별 정산리스트_2025-10:4 | 작품별 정산리스트_2025-9:4 | 작품별 정산리스트_2026-2:4 | 작품별 정산리스트_2026-1:3 | 작품별 정산리스트_2025-11:3 | 작품별 정산리스트_2025-12:3 | 작품별 정산리스트_2026-3:3 | 작품별 정산리스트_2026-4:3,1월:6 | 2026년1월:6 | 10월:6 | 2025년10월:6 | 12월:5 | 2025년12월:5 | 9월:5 | 2025년9월:5 | 2월:5 | 2026년2월:5 | 11월:4 | 2025년11월:4,원형/시트 그룹 5종,사람 가공/보조 시트 신호 약함,,
1/3,스토린랩,origin_variant,22,10,서점명|판매건수|매출|b2bc정산율|정산총액:7 | 판매처|판매월|번호|상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|회차|상품id|코드|2차정산여부|카테고리|그림작가|타입|판매건수|취소건수|정액제정산대상액|판매건수|판매금액|취소건수|취소금액|합계|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|ios|aos|고객결제서비스이용료|쿠폰시다무포인트등|차감|정산유형|건수|판매총액|입금액|정산율|정산액:6 | 판매처|판매월|번호|이용상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|매출사업자|판매사업자|정액권상품id|정액권상품명|실결제금액|정액권총매출액|업체별정산지급액|판매자id|판매자명|상호명|그림작가|채널상품id|채널상품명|도서바코드|bp관리id|이용상품id|코드|회차|상품정가|기준가|다운건수|매출지분|전체이용금액|상품별정산금액|카테고리|타입|건수|판매총액|입금액|정산율|정산액:2 | 판매처|판매월|번호|이용상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|채널상품명|매출사업자|판매사업자|정액권상품id|정액권상품명|실결제금액|정액권총매출액|업체별정산지급액|판매자id|판매자명|상호명|그림작가|채널상품id|도서바코드|bp관리id|이용상품id|코드|회차|상품정가|기준가|매출지분|전체이용금액|카테고리|타입|건수|판매총액|입금액|정산율|정산액:1 | 판매처|판매월|번호|상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|파트너명|파트너id|사업자구분|구매요청poc|채널상품id|채널상품명|회차|상품id|코드|2차정산여부|카테고리|그림작가|판매건수|취소건수|정액제정산대상액|판매건수|판매금액|취소건수|취소금액|합계|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|고객결제|고객결제현금영수증|ios|aos|쿠폰시다무포인트등|ios|aos|고객결제서비스이용료|쿠폰시다무포인트등|차감|정산유형|건수|판매총액|입금액|정산율|정산액:1 | 판매처|판매월|번호|이용상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|매출사업자|판매사업자|정액권상품id|정액권상품명|실결제금액|정액권총매출액|업체별정산지급액|판매자id|판매자명|상호명|그림작가|채널상품id|채널상품명|도서바코드|bp관리id|이용상품id|회차|상품정가|기준가|다운건수|매출지분|전체이용금액|상품별정산금액|카테고리|타입|건수|판매총액|입금액|정산율|정산액:1 | 판매처|판매월|번호|이용상품명|키다리코드|글작가|출판사|정산처|공급유형|분류|타입|매출사업자|판매사업자|정액권상품id|정액권상품명|실결제금액|정액권총매출액|업체별정산지급액|판매자id|판매자명|상호명|그림작가|채널상품id|채널상품명|도서바코드|bp관리id|이용상품id|코드|회차|상품정가|기준가|다운건수|매출지분|전체이용금액|상품별정산금액|카테고리|건수|판매총액|입금액|정산율|정산액:1 | 판매처|판매월|번호|타이틀|작가|출판사|정산처|공급유형|분류|구분|장르|사용코인|사용금액|취소코인|취소금액|합계금액|결제|이벤트|합계코인|판매총액|입금액|정산율|정산액:1,1:15 | 6:7,정리:7 | 원스:7 | 원스(북패스):7 | 무툰:1,9월:4 | 2025년9월:4 | 1월:3 | 2026년1월:3 | 10월:3 | 2025년10월:3 | 11월:3 | 2025년11월:3 | 12월:3 | 2025년12월:3 | 8월:3 | 2025년8월:3,원형/시트 그룹 10종 | 헤더 행 위치 2종 | 병합 셀 템플릿 존재 | 과대 used range/다열 원형 존재,사람 가공/보조 시트 신호 약함,,
1/3,판무림,origin_variant,16,9,no|시리즈코드|각권코드|대분류|중분류|작품제목|회차제목|저자|cp|출판사|웹판매건수|앱판매건수|판매금액|웹판매건수|앱판매건수|판매금액|이용건수|이용건수|판매금액|포인트사용|판매금액:8 | 일반작품판매액|2927350:1 | 일반작품판매액|4031340:1 | 일반작품판매액|4275900:1 | 일반작품판매액|4283960:1 | 일반작품판매액|3606480:1 | 일반작품판매액|2906300:1 | 일반작품판매액|2019170:1,12:8 | 4:8,표지:8 | 세부내역:8,1월:2 | 2026년1월:2 | 10월:2 | 2025년10월:2 | 11월:2 | 2025년11월:2 | 12월:2 | 2025년12월:2 | 9월:2 | 2025년9월:2 | 2월:2 | 2026년2월:2,원형/시트 그룹 9종 | 헤더 행 위치 2종 | 병합 셀 템플릿 존재,사람 가공/보조 시트 신호 약함,,
1/3,윌라,uncertain_mixed_origin_and_human_or_aux_signal,14,2,__NO_SIGNATURE__::sheet::cols16:7 | __NO_SIGNATURE__::콘텐츠 가격 변동 이력::cols1:7,none:14,sheet:7 | 콘텐츠 가격 변동 이력:7,9월:4 | 1월:2 | 2026년1월:2 | 10월:2 | 2025년10월:2 | 11월:2 | 2025년11월:2 | 12월:2 | 2025년12월:2 | 2월:2 | 2026년2월:2 | 3월:2,원형/시트 그룹 2종,헤더 미탐지/비상세 시트 가능성 | 보조/검토성 시트명 신호 존재,,"윌라\1월\2026년 1월 윌라 정산상세.xlsx::콘텐츠 가격 변동 이력 (이력,가격 변동) || 윌라\25년\10월\2025년 10월 윌라 정산상세.xlsx::콘텐츠 가격 변동 이력 (이력,가격 변동) || 윌라\25년\11월\2025년 11월 윌라 정산상세.xlsx::콘텐츠 가격 변동 이력 (이력,가격 변동) || 윌라\25년\12월\2025년 12월 윌라 정산상세.xlsx::콘텐츠 가격 변동 이력 (이력,가격 변동) || 윌라\25년\9월\2025년 윌라 9월 정산상세.xlsx::콘텐츠 가격 변동 이력 (이력,가격 변동) || 윌라\2월\2026년 2월 윌라 정산상세.xlsx::콘텐츠 가격 변동 이력 (이력,가격 변동) || 윌라\3월\2026년 3월 윌라 정산상세.xlsx::콘텐츠 가격 변동 이력 (이력,가격 변동)"
1/3,한아름,origin_variant,11,3,시간매출|건당매출|총매출액|배분률|정산금액:8 | bookno|업체명|구분|출판사|작가명|속성|작품명|권수|권당|판매|금액:2 | bookno|섹션|작가명|출판사|작품명|히트:1,27:7 | 4:3 | 19:1,Sheet1:7 | 정산내역서:1 | 시간로그:1 | 한아름:1 | 아름북스:1,12월:4 | 2025년12월:4 | 1월:1 | 2025년1월:1 | 10월:1 | 2025년10월:1 | 11월:1 | 2025년11월:1 | 9월:1 | 2025년9월:1 | 2월:1 | 2026년2월:1,원형/시트 그룹 3종 | 헤더 행 위치 3종 | 병합 셀 템플릿 존재 | 대용량 원형 존재,사람 가공/보조 시트 신호 약함,,
1/3,구글,uncertain_mixed_origin_and_human_or_aux_signal,11,2,__NO_SIGNATURE__::GoogleSalesTransactionReport::cols28:9 | __NO_SIGNATURE__::GoogleSalesTransactionReport::cols21:2,none:11,GoogleSalesTransactionReport:11,9월:4 | 2025년8월:2 | 2025년9월:2 | 1월:1 | 2026년1월:1 | 10월:1 | 2025년10월:1 | 11월:1 | 2025년11월:1 | 12월:1 | 2025년12월:1 | 2월:1,원형/시트 그룹 2종 | 대용량 원형 존재,헤더 미탐지/비상세 시트 가능성,,
1/3,미소설,uncertain_mixed_origin_and_human_or_aux_signal,9,2,타이틀|작품번호|작가명|날짜|종류|전체판매건수|판매코인|수익률|전체매출원|결제수수료원|지급액원미소설|지급액원asp|총지급액원:5 | 타이틀|날짜|종류|전체판매건수|판매코인|수익률|전체매출원|결제수수료원|지급액원미소설|지급액원asp|총지급액원:4,1:9,cpexcel20260303100057:2 | cpexcel20260202130320:1 | cpexcel20251103090930:1 | cpexcel20251201091341:1 | cpexcel20260102093612:1 | 2025년 8월 에피루스 정산상세:1 | cpexcel20260401093554:1 | cpexcel20260504104935:1,2월:2 | 2026년2월:2 | 1월:1 | 2026년1월:1 | 10월:1 | 2025년10월:1 | 11월:1 | 2025년11월:1 | 12월:1 | 2025년12월:1 | 9월:1 | 2025년9월:1,원형/시트 그룹 2종,파일명에 사람 작업 가능성 단서 존재,"미소설\2월\2026년 2월 미소설 정산상세_확장체크.xlsx (확장,체크)",
1/3,카카오,origin_variant,9,1,특별일반|사업자명|사업자번호|발행자명|계약유형|당월신규계약여부|계약uid|계약명|과면세|콘텐츠유형|시리즈id|시리즈명|판매시작일|판매종료일|제품코드발행자가부여하는코드|레이블|작가명|isbn유무|이용권종류|android캐시|web캐시|ios캐시|event캐시|유상캐시캐시|무상캐시캐시|총합계캐시|android원화|web원화|ios원화|event원화|유상캐시원화|무상캐시원화|총합계원화|android순매출|web순매출|ios순매출|event순매출|유상캐시순매출|무상캐시순매출|총합계순매출|android정산율%|web정산율%|ios정산율%|event정산율%|공급가액|세액|공급대가:9,2:9,정산리포트_카카오페이지_2025-08:3 | 정산리포트_카카오페이지_2025-10:2 | 정산리포트_카카오페이지_2025-11:2 | 정산리포트_카카오페이지_2025-09:2,11월:3 | 10월:2 | 2025년10월:2 | 2025년11월:2 | 9월:2 | 2025년9월:2 | 8월:2 | 2025년8월:2,병합 셀 템플릿 존재,사람 가공/보조 시트 신호 약함,,
1/3,미스터블루,uncertain_mixed_origin_and_human_or_aux_signal,8,2,기간|제공사|계정id|콘텐츠|출판사|작품코드|작품명|작가명|정액|종량|합계정액+종량:4 | 기간|제공사|계정id|콘텐츠|출판사|작품코드|작품명|작가명|볼륨no|볼륨명|가격|판매단위|전권할인|판매형태|블루머니|a앱머니|i앱머니|소계:4,2:8,작품별:4 | 볼륨별:4,10월:4 | 2025년10월:4 | 11월:2 | 2025년11월:2 | 9월:2 | 2025년9월:2,원형/시트 그룹 2종 | 병합 셀 템플릿 존재 | 대용량 원형 존재,파일명에 사람 작업 가능성 단서 존재,"미스터블루\10월\2025년 10월 미스터블루 정산상세_프모비교.xlsx (프모,비교)",
