판단유형,판매채널,정제키,행수,원문예시,파일예시,필요한판단
S2 신규/진짜없음 판단,리디북스(소설),독식하는재벌세,778,[e북]독식하는 재벌 3세 2권 | [e북]독식하는 재벌 3세 3권 | [e북]독식하는 재벌 3세 4권 | [e북]독식하는 재벌 3세 5권 | [e북]독식하는 재벌 3세 6권 | [e북]독식하는 재벌 3세 7권,2026-02__리디북스(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,원스토어(소설),독식하는재벌세,687,독식하는 재벌 3세,2026-02__원스토어(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,리디북스(소설),아이돌공략법으로데뷔합니다,324,아이돌 공략법으로 데뷔합니다 130화 | 아이돌 공략법으로 데뷔합니다 131화 | 아이돌 공략법으로 데뷔합니다 101화 | 아이돌 공략법으로 데뷔합니다 102화 | 아이돌 공략법으로 데뷔합니다 103화 | 아이돌 공략법으로 데뷔합니다 104화,2026-02__리디북스(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,원스토어(소설),ex급만능사제가되었다,313,EX급 만능사제가 되었다,2026-02__원스토어(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,리디북스(소설),ex급만능사제가되었다,187,EX급 만능사제가 되었다 27화 | EX급 만능사제가 되었다 28화 | EX급 만능사제가 되었다 29화 | EX급 만능사제가 되었다 30화 | EX급 만능사제가 되었다 31화 | EX급 만능사제가 되었다 32화,2026-02__리디북스(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,리디북스(소설),sm클럽암캐가된여자들,180,[e북]SM클럽 -암캐가 된 여자들- 2권 | [e북]SM클럽 -암캐가 된 여자들- 3권 | [e북]SM클럽 -암캐가 된 여자들- 4권 | [e북]SM클럽 -암캐가 된 여자들- 5권 | SM클럽 -암캐가 된 여자들- 268화 | SM클럽 -암캐가 된 여자들- 266화,2026-02__리디북스(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,원스토어(소설),다따먹점혈법,176,다따먹점혈법,2026-02__원스토어(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,리디북스(소설),사립루레인학원시리즈,151,사립 루레인 학원 시리즈 152화 | 사립 루레인 학원 시리즈 153화 | 사립 루레인 학원 시리즈 154화 | 사립 루레인 학원 시리즈 155화 | 사립 루레인 학원 시리즈 156화 | 사립 루레인 학원 시리즈 157화,2026-02__리디북스(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,Yes24(서점),악작현대au,106,[BL] 악작 현대AU 특별외전 | [BL] 악작 현대AU (외전),2026-02__Yes24(서점)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,판무림,다따먹점혈법,77,다따먹점혈법,2026-02__판무림__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,북큐브(소설),독식하는재벌세,49,독식하는 재벌 3세 10 | 독식하는 재벌 3세 11 | 독식하는 재벌 3세 12 | 독식하는 재벌 3세 13 | 독식하는 재벌 3세 14 | 독식하는 재벌 3세 15,2026-02__북큐브(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,한아름(P000003716),다따먹점혈법,48,[연재] 다따먹점혈법,2026-02__한아름(P000003716)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,리디북스(소설),보수적이라며팬티는왜벗어,36,보수적이라며 팬티는 왜 벗어? 17화 | 보수적이라며 팬티는 왜 벗어? 18화 | 보수적이라며 팬티는 왜 벗어? 19화 | 보수적이라며 팬티는 왜 벗어? 20화 | 보수적이라며 팬티는 왜 벗어? 21화 | 보수적이라며 팬티는 왜 벗어? 22화,2026-02__리디북스(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,교보문고(소설),금검지,13,금검지 12 | 금검지 1 | 금검지 2 | 금검지 3 | 금검지 4 | 금검지 5,2026-02__교보문고(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,원스토어(소설),시간의마에스트로,10,시간의 마에스트로,2026-02__원스토어(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,교보문고(소설),소설황당무계,9,소설 황당무계 1 | 소설 황당무계 2 | 소설 황당무계 3 | 소설 황당무계 4 | 소설 황당무계 5 | 소설 황당무계 6,2026-02__교보문고(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,원스토어(소설),sm클럽암캐가된여자들,9,SM클럽 -암캐가 된 여자들-,2026-02__원스토어(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,밀리의 서재,사이코패스살인마는살고싶다,8,사이코패스 살인마는 살고 싶다,2026-02__밀리의 서재__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,카카오페이지(선투자),연봉조신입사원,8,연봉 1조 신입사원,2026-02__카카오페이지(선투자)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
S2 신규/진짜없음 판단,교보문고(소설),소림대협,7,소림대협 1 | 소림대협 2 | 소림대협 3 | 소림대협 4 | 소림대협 5 | 소림대협 6,2026-02__교보문고(소설)__SSOT.xlsx,"S2 지급정산 lookup 전체에서 같은 정제키 없음. 실제로 신규 지급정산 생성 대상인지, 또는 no-action/정산 제외인지 판단"
