relative_path,platform,selected_s2_channel,decision,status,parsed_rows,feed_rows,s2_filter_after,s2_matched,s2_no_match,review_rows,missing_guard_candidates,billing_candidates,duplicate_candidate_keys,transfer_exportable,transfer_rows,transfer_blocked_rows,blocking_or_error
교보\2월\2026년 2월 교보문고 정산상세.xlsx,교보,교보문고(소설),selected_by_best_match,success,728,728,3176,642,86,86,0,0,42,N,0,728,S2 전송자료 출력 차단: 대표월 fixture + 판매금액 산식 확정 전 S2 출력 금지 | S2 전송자료 차단 행 728개가 있습니다.
구글\2월\2026년 2월 구글 정산상세(법인세).xlsx,구글,구글(소설),selected_by_best_match,success,4242,4242,3391,3761,481,481,0,0,81,N,0,4242,"S2 전송자료 출력 차단: Google 금액 기준 확정 + 외화/세금 처리 전 S2 출력 금지 | S2 전송자료 차단 행 4,242개가 있습니다."
네이버\2월\2026년 2월 네이버 연재 정산상세.xlsx,네이버,네이버_연재,selected_by_filename,success,504,504,821,461,42,43,0,0,39,N,0,504,S2 전송자료 출력 차단: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지 | S2 전송자료 차단 행 504개가 있습니다.
네이버\2월\2026년 2월 네이버 장르 정산상세.xlsx,네이버,네이버_장르,selected_by_filename,success,497,497,1812,472,25,25,0,0,71,N,0,497,S2 전송자료 출력 차단: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지 | S2 전송자료 차단 행 497개가 있습니다.
네이버\2월\선투자\2026년 2월 네이버 간딴 정산상세.xlsx,네이버,네이버_연재,selected_by_best_match,success,1,1,821,1,0,0,0,0,0,N,0,1,S2 전송자료 출력 차단: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지 | S2 전송자료 차단 행 1개가 있습니다.
네이버\2월\선투자\2026년 2월 네이버 김악개 정산상세.xlsx,네이버,네이버_일반,selected_by_best_match,success,1,1,3243,1,0,0,0,0,0,N,0,1,S2 전송자료 출력 차단: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지 | S2 전송자료 차단 행 1개가 있습니다.
네이버\2월\선투자\2026년 2월 네이버 북홀릭 정산상세.xlsx,네이버,네이버_연재,selected_by_best_match,success,1,1,821,1,0,0,0,0,0,N,0,1,S2 전송자료 출력 차단: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지 | S2 전송자료 차단 행 1개가 있습니다.
네이버\2월\선투자\2026년 2월 네이버 선투자 정산상세(통합).xlsx,네이버,,blocked_by_adapter_policy,blocked_by_adapter_policy,4,0,,,,,,,,,,,통합본/확장체크 등 검토용 변형 파일이라 기본 S2 매핑 입력에서 제외했습니다. | 파싱은 됐지만 S2 매핑으로 보낼 입력 행이 없습니다.
네이버\2월\선투자\2026년 2월 네이버 차라리 정산상세.xlsx,네이버,네이버_연재(광고수익),selected_by_best_match,success,1,1,1197,1,0,0,0,0,0,N,0,1,S2 전송자료 출력 차단: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지 | S2 전송자료 차단 행 1개가 있습니다.
네이버\2월\일반\2026년 2월 네이버 일반 정산상세.xlsx,네이버,네이버_일반,selected_by_filename,success,2,2,3243,2,0,0,0,0,0,N,0,2,S2 전송자료 출력 차단: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지 | S2 전송자료 차단 행 2개가 있습니다.
네이버\2월\킹묵추가\2026년 2월 네이버 킹묵 정산상세.xlsx,네이버,네이버_연재,selected_by_best_match,success,1,1,821,1,0,0,0,0,0,N,0,1,S2 전송자료 출력 차단: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지 | S2 전송자료 차단 행 1개가 있습니다.
노벨피아\2월\2026년 2월 노벨피아 정산상세.xlsx,노벨피아,노벨피아 (소설),selected_by_best_match,success,74,74,325,64,10,10,0,0,1,N,0,74,S2 전송자료 출력 차단: 취소금액 처리 정책 확정 후 S2 출력 | S2 전송자료 차단 행 74개가 있습니다.
로망띠끄\2월\2026년 2월 로망띠끄 정산상세.xlsx,로망띠끄,로망띠끄,selected_by_filename,success,61,61,928,60,1,1,0,0,7,N,0,61,S2 전송자료 차단 행 61개가 있습니다.
리디북스\2월\2026년 2월 리디북스 정산상세.xlsx,리디북스,리디북스(소설),selected_by_best_match,success,32265,32265,2132,28625,3640,3640,0,0,203,N,0,32265,"S2 전송자료 출력 차단: 판매/취소/앱마켓 산식 확정 전 S2 출력 금지 | S2 전송자료 차단 행 32,265개가 있습니다."
