relative_path,folder_platform,adapter_platform,status,file_status,sheet_statuses,parsed_rows,default_feed_rows,title_present_rows,amount_rule_status,s2_amount_policy_locked,s2_gate,blocking_messages,warning_messages,columns,feed_columns,error
교보\2월\2026년 2월 교보문고 정산상세.xlsx,교보,교보,schema_pass,include,Sheet1:parsed:728,728,728,728,needs_reconcile,False,대표월 fixture + 판매금액 산식 확정 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 대표월 fixture + 판매금액 산식 확정 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
구글\2월\2026년 2월 구글 정산상세(법인세).xlsx,구글,구글,schema_pass,include,GoogleSalesTransactionReport:parsed:4242,4242,4242,4242,needs_policy,False,Google 금액 기준 확정 + 외화/세금 처리 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: Google 금액 기준 확정 + 외화/세금 처리 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
네이버\2월\2026년 2월 네이버 연재 정산상세.xlsx,네이버,네이버,schema_pass,include,contentsSelling_2026-03-04:parsed:504,504,504,504,needs_policy,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
네이버\2월\2026년 2월 네이버 장르 정산상세.xlsx,네이버,네이버,schema_pass,include,contentsSelling_2026-03-04:parsed:497,497,497,497,needs_policy,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
네이버\2월\선투자\2026년 2월 네이버 간딴 정산상세.xlsx,네이버,네이버,schema_pass,include,contentsSelling_2026-03-04:parsed:1,1,1,1,needs_policy,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
네이버\2월\선투자\2026년 2월 네이버 김악개 정산상세.xlsx,네이버,네이버,schema_pass,include,contentsSelling_2026-03-04:parsed:1,1,1,1,needs_policy,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
네이버\2월\선투자\2026년 2월 네이버 북홀릭 정산상세.xlsx,네이버,네이버,schema_pass,include,contentsSelling_2026-03-04:parsed:1,1,1,1,needs_policy,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
네이버\2월\선투자\2026년 2월 네이버 선투자 정산상세(통합).xlsx,네이버,네이버,schema_pass_blocked,review_gate_not_default,contentsSelling_2026-03-04:parsed:4,4,0,4,needs_policy,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,통합본/확장체크 등 검토용 변형 파일이라 기본 S2 매핑 입력에서 제외했습니다. | 파싱은 됐지만 S2 매핑으로 보낼 입력 행이 없습니다.,,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명,
네이버\2월\선투자\2026년 2월 네이버 차라리 정산상세.xlsx,네이버,네이버,schema_pass,include,contentsSelling_2026-03-04:parsed:1,1,1,1,needs_policy,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
네이버\2월\일반\2026년 2월 네이버 일반 정산상세.xlsx,네이버,네이버,schema_pass,include,contentsSelling_2026-03-09:parsed:2,2,2,2,needs_policy,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
네이버\2월\킹묵추가\2026년 2월 네이버 킹묵 정산상세.xlsx,네이버,네이버,schema_pass,include,contentsSelling_2026-03-10:parsed:1,1,1,1,needs_policy,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
노벨피아\2월\2026년 2월 노벨피아 정산상세.xlsx,노벨피아,노벨피아,schema_pass,include,일별 정산:parsed:74,74,74,74,needs_cancel_policy,False,취소금액 처리 정책 확정 후 S2 출력,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 취소금액 처리 정책 확정 후 S2 출력,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
로망띠끄\2월\2026년 2월 로망띠끄 정산상세.xlsx,로망띠끄,로망띠끄,schema_pass,include,styleB(바로북)1772498411:parsed:61,61,61,61,candidate_confirmed_after_reconcile,True,대표월 fixture + 총액 reconcile 후 출력,,,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
리디북스\2월\2026년 2월 리디북스 정산상세.xlsx,리디북스,리디북스,schema_pass,include,calculate_1:parsed:32265,32265,32265,32265,needs_policy,False,판매/취소/앱마켓 산식 확정 전 S2 출력 금지,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 판매/취소/앱마켓 산식 확정 전 S2 출력 금지,platform | source_file | source_sheet | source_row | file_status | row_status | 상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보 | 정제_상품명 | parser_contract | amount_rule_status | s2_gate,상품명 | 작가명 | 외부콘텐츠ID | 판매금액_후보 | 정산기준액_후보 | 상계금액_후보,
