amount_rule_status,default_feed_rows,error,file_status,parse_status,parsed_rows,parser_contract,period,platform,relative_path,s2_amount_policy_locked,s2_gate,sheet_audits,title_present_rows
needs_policy,4242,,include,parsed,4242,google_transaction_fixed_columns,2026-02,구글,구글\2월\2026년 2월 구글 정산상세(법인세).xlsx,False,Google 금액 기준 확정 + 외화/세금 처리 전 S2 출력 금지,GoogleSalesTransactionReport:parsed:h1:r4242,4242
needs_policy,504,,include,parsed,504,two_row_merged_header_flatten,2026-02,네이버,네이버\2월\2026년 2월 네이버 연재 정산상세.xlsx,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,contentsSelling_2026-03-04:parsed:h3:r504,504
needs_policy,497,,include,parsed,497,two_row_merged_header_flatten,2026-02,네이버,네이버\2월\2026년 2월 네이버 장르 정산상세.xlsx,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,contentsSelling_2026-03-04:parsed:h3:r497,497
needs_policy,1,,include,parsed,1,two_row_merged_header_flatten,2026-02,네이버,네이버\2월\선투자\2026년 2월 네이버 간딴 정산상세.xlsx,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,contentsSelling_2026-03-04:parsed:h3:r1,1
needs_policy,1,,include,parsed,1,two_row_merged_header_flatten,2026-02,네이버,네이버\2월\선투자\2026년 2월 네이버 김악개 정산상세.xlsx,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,contentsSelling_2026-03-04:parsed:h3:r1,1
needs_policy,1,,include,parsed,1,two_row_merged_header_flatten,2026-02,네이버,네이버\2월\선투자\2026년 2월 네이버 북홀릭 정산상세.xlsx,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,contentsSelling_2026-03-04:parsed:h3:r1,1
needs_policy,0,,review_gate_not_default,parsed,4,two_row_merged_header_flatten,2026-02,네이버,네이버\2월\선투자\2026년 2월 네이버 선투자 정산상세(통합).xlsx,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,contentsSelling_2026-03-04:parsed:h3:r4,4
needs_policy,1,,include,parsed,1,two_row_merged_header_flatten,2026-02,네이버,네이버\2월\선투자\2026년 2월 네이버 차라리 정산상세.xlsx,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,contentsSelling_2026-03-04:parsed:h3:r1,1
needs_policy,2,,include,parsed,2,two_row_merged_header_flatten,2026-02,네이버,네이버\2월\일반\2026년 2월 네이버 일반 정산상세.xlsx,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,contentsSelling_2026-03-09:parsed:h3:r2,2
needs_policy,1,,include,parsed,1,two_row_merged_header_flatten,2026-02,네이버,네이버\2월\킹묵추가\2026년 2월 네이버 킹묵 정산상세.xlsx,False,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,contentsSelling_2026-03-10:parsed:h3:r1,1
needs_cancel_policy,74,,include,parsed,74,single_header,2026-02,노벨피아,노벨피아\2월\2026년 2월 노벨피아 정산상세.xlsx,False,취소금액 처리 정책 확정 후 S2 출력,일별 정산:parsed:h1:r74,74
needs_policy,332,,include,parsed,332,single_header_variants,2026-02,모픽,모픽\2월\2026년 2월 모픽 정산상세.xlsx,False,총/순 매출 기준 확정 후 S2 출력,작품별정산:parsed:h1:r332,332
needs_coin_policy,514,,include,parsed,514,merged_header_coin_table,2026-02,무툰,무툰\2월\2026년 2월 무툰 정산상세.xlsx,False,코인-원화 및 취소/공제 기준 확정 전 S2 출력 금지,Sheet:parsed:h2:r514,514
needs_cancel_policy,118,,include,parsed,118,single_header_limited_columns,2026-02,문피아,문피아\2월\2026년 2월 문피아 정산상세.xlsx,False,취소/IOS/Google 포함 여부 확정 후 S2 출력,다우인큐브:parsed:h1:r118,118
needs_policy,125,,include,parsed,125,single_header_variants,2026-02,미소설,미소설\2월\2026년 2월 미소설 정산상세.xlsx,False,지급액 컬럼 선택 기준 확정 후 S2 출력,cpexcel20260303100057:parsed:h1:r125,125
