platform,schema_group_no,final_group_action,final_group_gate,group_note,adapter_contract,source_sheet_rule,exclude_rule,header_rule,normalized_title_from,raw_author_from,external_work_id_from,gross_sales_amount_from,settlement_base_amount_from,offset_amount_from,amount_rule_status,s2_projection_status,catalog_status,catalog_sheet_count,catalog_file_count,top_sheet_names,header_preview_sanitized,representative_example
교보,1,include_after_amount_policy,대표월 fixture + 판매금액 산식 확정 전 S2 출력 금지,기존 manual_review였으나 대표 샘플 재스캔에서 헤더 확인,single_header_with_leading_merged_title,Sheet1,,row 2,상품명,저자,판매상품ID / epub isbn / pdf isbn / 종이책ISBN / 북넘버,정산대상판매가총액 또는 판매가 x 판매수량,정산액,없음 확인 필요,needs_reconcile,blocked_until_gate,manual_review,2,2,Sheet1(2),판매기간 | 전체 | 판매채널 | 판매방식 | 상품구분 | 상품명 | 회차명 | 저자 | 출판사 | 제휴사 | 납품처 | 정가 | 판매가 | 판매수량 | 정산대상판매가총액 | 정산율 | 정산액 | 대분류 | 판매상품ID | epub isbn | pdf isbn | zip isbn | mp3 isbn | issn | 종이책ISBN | 북넘버,교보\10월\2025년 10월 교보 정산상세.xlsx
구글,1,special_parser_only,Google 금액 기준 확정 + 외화/세금 처리 전 S2 출력 금지,,google_transaction_fixed_columns,GoogleSalesTransactionReport,,row 1,Title,Author,Id / Product / Primary ISBN,Publisher Revenue / Payment Amount 후보,법인세 차감 후 금액 또는 Publisher Revenue 후보,미국 원천징수세 / 법인세 차감액 후보,needs_policy,blocked_until_gate,manual_review,9,9,GoogleSalesTransactionReport(9),Transaction Date | Id | Product | Type | Preorder | Qty | Primary ISBN | Imprint Name | Title | Author | Original List Price Currency | Original List Price | List Price Currency | List Price [tax inclusive] | List Price [tax exclusive] | Co,구글\1월\2026년 1월 구글 정산상세(법인세).xlsx
구글,2,special_parser_only,Google 금액 기준 확정 + 외화/세금 처리 전 S2 출력 금지,,google_transaction_fixed_columns,GoogleSalesTransactionReport,,row 1,Title,Author,Id / Product / Primary ISBN,Publisher Revenue / Payment Amount 후보,법인세 차감 후 금액 또는 Publisher Revenue 후보,미국 원천징수세 / 법인세 차감액 후보,needs_policy,blocked_until_gate,manual_review,2,2,GoogleSalesTransactionReport(2),Transaction Date | Id | Product | Type | Preorder | Qty | Primary ISBN | Imprint Name | Title | Author | Original List Price Currency | Original List Price | List Price Currency | List Price [tax inclusive] | List Price [tax exclusive] | Co,구글\25년\9월\2025년 8월 구글 정산상세.xlsx
네이버,1,special_parser_only,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,,two_row_merged_header_flatten,contentsSelling_*,"복사본, 중복 통합본은 review gate",row 3,컨텐츠,작가명,컨텐츠No / 공급자코드,합계,"정산금액 있는 그룹만 직접 후보, 그 외 정책 필요",마켓수수료(추정치) / 유상 이용권 보정,needs_policy,blocked_until_gate,adapter_candidate,67,67,contentsSelling_2026-04-03(9) | contentsSelling_2026-05-06(9) | contentsSelling_2026-02-04(7) | contentsSelling_2026-03-04(7) | contentsSelling_2026-01-06(6) | contentsSelling_2025-09-03(4) | contentsSelling_2025-10-10(4) | contentsSelling_2025-11-04(3),컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상,네이버\1월\2026년 1월 네이버 연재 정산상세.xlsx
네이버,2,special_parser_only,2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,,two_row_merged_header_flatten,contentsSelling_*,"복사본, 중복 통합본은 review gate",row 3,컨텐츠,작가명,컨텐츠No / 공급자코드,합계,"정산금액 있는 그룹만 직접 후보, 그 외 정책 필요",마켓수수료(추정치) / 유상 이용권 보정,needs_policy,blocked_until_gate,adapter_candidate,4,4,contentsSelling_2025-11-04(1) | contentsSelling_2025-12-03(1) | contentsSelling_2026-01-06(1) | contentsSelling_2025-10-10(1),컨텐츠 | 컨텐츠No | 공급자코드 | CP명 | 작가명 | 출판사 | 나이제한 | 서비스일 | 대여권 | 소장권 | 쿠키로 대여 | 쿠키로 구매 | i쿠키로 대여 | i쿠키로 구매 | 자동충전 쿠키로 대여 | 자동충전 쿠키로 구매 | 구글 쿠키로 대여 | 구글 쿠키로 구매 | 구글 외부 쿠키로 대여 | 구글 외부 쿠키로 구매 | 원스토어 쿠키로 대여 | 원스토어 쿠키로 구매 | 리딤 쿠키로 대여 | 리딤 쿠키로 구매 | 유상,네이버\25년\10월\선투자\2025년 10월 네이버 선투자 정산상세(통합).xlsx
노벨피아,1,include_after_amount_policy,취소금액 처리 정책 확정 후 S2 출력,,single_header,일별 정산,,row 1,상품명,작가명,작품코드,판매합계 또는 판매금액,정산금액,취소금액,needs_cancel_policy,blocked_until_gate,adapter_candidate,8,8,일별 정산(8),날짜 | 컨텐츠유형 | 판매방식 | 작품코드 | 연재/단행 | 상품명 | 작가명 | 출판사 | 판매건 | 판매금액 | 취소건 | 취소금액 | 판매합계 | 정산금액,노벨피아\1월\2026년 1월 노벨피아 정산상세.xlsx
로망띠끄,1,include_candidate_after_rescan,대표월 fixture + 총액 reconcile 후 출력,기존 manual_review였으나 대표 샘플 재스캔에서 헤더 확인,single_header_row5_with_merged_banner,styleB(바로북)*,,row 5,도서명,저자,도서코드 / isbn,판매액,정산액,없음 확인 필요,candidate_confirmed_after_reconcile,allowed_after_gate,manual_review,1,1,styleB(바로북)1762237499(1),도서코드 | 일련번호 | 구분 | 도서명 | 출판사명 | 저자 | 판매량 | 판매액 | 정산율 | 정산액 | 등록일 | 판매처 | isbn,로망띠끄\10월\2025년 10월 로망띠끄(이북) 정산상세.xlsx
로망띠끄,2,include_candidate_after_rescan,대표월 fixture + 총액 reconcile 후 출력,기존 manual_review였으나 대표 샘플 재스캔에서 헤더 확인,single_header_row5_with_merged_banner,styleB(바로북)*,,row 5,도서명,저자,도서코드 / isbn,판매액,정산액,없음 확인 필요,candidate_confirmed_after_reconcile,allowed_after_gate,manual_review,1,1,styleB(바로북)1764723314(1),도서코드 | 일련번호 | 구분 | 도서명 | 출판사명 | 저자 | 판매량 | 판매액 | 정산율 | 정산액 | 등록일 | 판매처 | isbn,로망띠끄\11월\2025년 11월 로망띠끄 정산상세.xlsx
로망띠끄,3,include_candidate_after_rescan,대표월 fixture + 총액 reconcile 후 출력,기존 manual_review였으나 대표 샘플 재스캔에서 헤더 확인,single_header_row5_with_merged_banner,styleB(바로북)*,,row 5,도서명,저자,도서코드 / isbn,판매액,정산액,없음 확인 필요,candidate_confirmed_after_reconcile,allowed_after_gate,manual_review,1,1,styleB(바로북)1760082209(1),도서코드 | 일련번호 | 구분 | 도서명 | 출판사명 | 저자 | 판매량 | 판매액 | 정산율 | 정산액 | 등록일 | 판매처 | isbn,로망띠끄\9월\2025년 9월 로망띠끄(이북) 정산상세.xlsx
리디북스,1,include_after_amount_policy,판매/취소/앱마켓 산식 확정 전 S2 출력 금지,,wide_single_header_limited_columns,calculate_1 및 리디 정산상세 시트,,row 1,제목 / 시리즈명,저자,도서 ID / 시리즈 ID / 전자책ISBN10/13,판매액 + 단권/세트/대여 판매액 후보,정산액 / 앱마켓 정산대상액 후보,취소액 / 앱마켓 수수료 / 앱마켓 취소액,needs_policy,blocked_until_gate,adapter_candidate,5,5,calculate_1(4) | 25년 8월 리디북스 정산상세(1),판매처 | 시리즈 ID | 도서 ID | 제목 | 권/화수 | 저자 | 역자 | 그림 | 출판사 | 시리즈명 | 전자책정가 | 단권판매액 | 단권판매권 | 단권무료권 | 대여액 | 대여유료권( ~ 2020-04 대여권) | 대여무료권 | 자유다운금액 | 자유다운권 | 세트판매액 | 세트판매권 | 세트대여액 | 세트대여권 | 취소단권판매액 | 취소단권판매권 | 취소대여액 | 취소대여권 | 취소자유다운액 | 취소자유다운권 | 취소,리디북스\10월\2025년 10월 리디북스 정산상세.xlsx
