platform,audit_bucket,strict_verdict,april_file_count,april_sheet_count,has_platform_dir,has_april_dir,parser_type,title_source,id_source,sale_amount_source,settlement_amount_source,offset_source,exclusion_rule,main_risk,next_action,april_files,sheet_names,header_rows_seen,raw_audit_flags
교보,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
구글,C_special_adapter_required,영문 Google export 특수 어댑터 필요,1,1,True,True,single_sheet_english_export,Title,Id / Product / Primary ISBN 후보 확인 필요,Publisher Revenue / Payment Amount / 법인세 차감 후 금액 중 업무 기준 확정 필요,Publisher Revenue 또는 법인세 차감 후 금액 후보,미국 원천징수세 / 법인세 차감 로직 확인 필요,없음,한국어 헤더 정규화로는 누락된다. 세금 차감 전후 금액 중 어떤 값을 S2 판매금액/정산기준액으로 쓸지 확정 필요.,Google 전용 컬럼 매핑표와 금액 기준 확정,구글\4월\2026년 4월 구글 정산상세(법인세).xlsx,GoogleSalesTransactionReport,1,
네이버,C_special_adapter_required,2행 병합 헤더 + 파일 선별 규칙 필요,9,9,True,True,multi_file_two_row_merged_header,컨텐츠,컨텐츠No / 공급자코드 후보,합계 및 이용권/쿠키 그룹별 금액 후보,마켓수수료(추정치) 차감 후 계산 여부 확인 필요,유상 이용권 보정 / 마켓수수료(추정치),선투자 통합 파일은 개별 선투자 파일과 중복 가능성이 있어 기본 제외/검토,상단 그룹 헤더와 하위 헤더를 결합해야 컬럼 의미가 산다. 통합 파일을 함께 먹이면 중복 집계 위험.,"2행 헤더 flatten 규칙, 선투자 파일 포함/제외 기준, 합계/수수료 사용 기준 확정",네이버\4월\2026년 4월 네이버 연재 정산상세.xlsx | 네이버\4월\2026년 4월 네이버 장르 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 간딴 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 김악개 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 낙필 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 북홀릭 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 선투자 정산상세(통합).xlsx | 네이버\4월\선투자\2026년 4월 네이버 차라리 정산상세.xlsx | 네이버\4월\선투자\2026년 4월 네이버 호수 정산상세.xlsx,contentsSelling_2026-05-06,3,filename_human_work_signal | merged_cells
노벨피아,A_generic_adapter_candidate,일반 어댑터 후보,1,1,True,True,single_header_table,상품명 / 작가명,작품코드,판매금액 / 취소금액 / 판매합계,정산금액,취소금액,없음,취소금액을 상계금액으로 둘지 판매금액에서 차감할지 기준 필요.,취소/판매합계 처리 규칙만 확정하면 어댑터 작성 가능,노벨피아\4월\2026년 4월 노벨피아 정산상세.xlsx,일별 정산,1,merged_cells
로망띠끄,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
리디북스,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
모픽,A_generic_adapter_candidate,일반 어댑터 후보,1,1,True,True,single_header_table,작품명 / 작가명,없음,총 매출액 / 순 매출액,정산액,총 매출액-순 매출액 또는 별도 없음,없음,총매출과 순매출 중 S2 판매금액/정산기준액 대응을 정해야 한다.,총/순 매출 사용 기준 확정,모픽\4월\2026년 4월 모픽 정산상세.xlsx,작품별정산,1,
무툰,B_amount_semantics_required,금액 의미 확인 필요,1,1,True,True,single_header_table_with_merged_title_row,타이틀 / 작가,없음,사용코인 / 취소코인 / 합계,정산총액,공제수수료 / 취소코인,없음,"코인이 곧 원화인지, 합계와 정산총액 중 어느 값을 S2 금액으로 쓸지 확정 필요.",무툰/큐툰 공통 코인 금액 변환·상계 기준 확정,무툰\4월\2026년 4월 무툰 정산상세.xlsx,Sheet,2,merged_cells
문피아,A_generic_adapter_candidate,일반 어댑터 후보,1,1,True,True,single_header_table,작품 / 작가,작품코드,총매출 / IOS매출 / Google매출,정산,구매취소 / 대여취소,없음,IOS/Google 매출을 총매출에 이미 포함된 항목으로 볼지 별도 검산용으로 볼지 확인 필요.,총매출 기준 확정 후 어댑터 작성,문피아\4월\2026년 4월 문피아 정산상세.xlsx,다우인큐브,1,
미소설,A_generic_adapter_candidate,일반 어댑터 후보,1,1,True,True,single_header_table,타이틀 / 작가명,작품번호,전체매출(원),총지급액(원) 또는 지급액(원) ASP 후보,결제수수료(원),없음,지급액 미소설/ASP/총지급액 중 S2 정산기준액 대응 확정 필요.,지급액 컬럼 선택 기준 확정,미소설\4월\2026년 4월 미소설 정산상세.xlsx,cpexcel20260504104935,1,
미스터블루,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
밀리의서재,A_generic_adapter_candidate,일반 어댑터 후보,1,1,True,True,single_header_table,콘텐츠명 / 저자명,전자출판물 ISBN / 유통사 상품코드,발생 금액,정산 예정 금액,없음 또는 발생 금액-정산 예정 금액,없음,이전 전수조사에서 헤더 탐지가 약했으나 4월 원형은 정상 표 구조다. 에피소드명 집계 단위 확인 필요.,콘텐츠명/에피소드명 집계 키 확정,밀리의서재\4월\2026년 4월 밀리의서재 정산상세.xlsx,list,1,
보인&국립장애인도서관,D_no_april_source,4월 대표 원형 없음: 4월 폴더 없음,0,0,True,False,not_audited_no_april_sample,,,,,,4월 폴더 없음,4월 대표 샘플 기준 어댑터 감리 불가. 다른 월 대표 원형으로 fallback 필요.,가장 최근 월 또는 파일 수가 안정적인 월을 대표 샘플로 재감리,,,,
