relative_path,platform,selected_s2_channel,decision,detected_filename_channel,candidate_summary,feed_rows,blocking_messages,warning_messages,note
교보\2월\2026년 2월 교보문고 정산상세.xlsx,교보,교보문고(소설),selected_by_best_match,,교보문고(소설):m642/n86/d42 || 교보문고(톡소다):m414/n314/d12,728,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 대표월 fixture + 판매금액 산식 확정 전 S2 출력 금지,
구글\2월\2026년 2월 구글 정산상세(법인세).xlsx,구글,구글(소설),selected_by_best_match,,구글(소설):m3761/n481/d81,4242,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: Google 금액 기준 확정 + 외화/세금 처리 전 S2 출력 금지,
네이버\2월\2026년 2월 네이버 연재 정산상세.xlsx,네이버,네이버_연재,selected_by_filename,네이버_연재,네이버_연재:m461/n42/d39 || 네이버_연재(광고수익):m391/n112/d41 || 네이버_장르:m374/n129/d49 || 네이버_장르(광고수익):m315/n188/d31 || 네이버_일반:m117/n386/d12,504,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,
네이버\2월\2026년 2월 네이버 장르 정산상세.xlsx,네이버,네이버_장르,selected_by_filename,네이버_장르,네이버_장르:m472/n25/d71 || 네이버_장르(광고수익):m266/n231/d27 || 네이버_연재:m216/n281/d23 || 네이버_연재(광고수익):m201/n296/d22 || 네이버_일반:m80/n417/d8,497,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,
네이버\2월\선투자\2026년 2월 네이버 간딴 정산상세.xlsx,네이버,네이버_연재,selected_by_best_match,,네이버_연재:m1/n0/d0 || 네이버_연재(광고수익):m1/n0/d0 || 네이버_장르:m1/n0/d0 || 네이버_장르(광고수익):m1/n0/d0 || 네이버_일반:m0/n1/d0,1,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,
네이버\2월\선투자\2026년 2월 네이버 김악개 정산상세.xlsx,네이버,네이버_일반,selected_by_best_match,,네이버_연재:m1/n0/d1 || 네이버_연재(광고수익):m1/n0/d1 || 네이버_일반:m1/n0/d0 || 네이버_장르:m1/n0/d1 || 네이버_장르(광고수익):m1/n0/d1,1,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,
네이버\2월\선투자\2026년 2월 네이버 북홀릭 정산상세.xlsx,네이버,네이버_연재,selected_by_best_match,,네이버_연재:m1/n0/d0 || 네이버_연재(광고수익):m1/n0/d0 || 네이버_일반:m1/n0/d0 || 네이버_장르:m1/n0/d0 || 네이버_장르(광고수익):m1/n0/d0,1,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,
네이버\2월\선투자\2026년 2월 네이버 선투자 정산상세(통합).xlsx,네이버,,blocked_by_adapter_policy,,,0,통합본/확장체크 등 검토용 변형 파일이라 기본 S2 매핑 입력에서 제외했습니다. | 파싱은 됐지만 S2 매핑으로 보낼 입력 행이 없습니다.,,통합본/확장체크 등 검토용 변형 파일이라 기본 S2 매핑 입력에서 제외했습니다. | 파싱은 됐지만 S2 매핑으로 보낼 입력 행이 없습니다.
네이버\2월\선투자\2026년 2월 네이버 차라리 정산상세.xlsx,네이버,네이버_연재(광고수익),selected_by_best_match,,네이버_연재:m1/n0/d1 || 네이버_연재(광고수익):m1/n0/d0 || 네이버_일반:m0/n1/d0 || 네이버_장르:m0/n1/d0 || 네이버_장르(광고수익):m0/n1/d0,1,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,
네이버\2월\일반\2026년 2월 네이버 일반 정산상세.xlsx,네이버,네이버_일반,selected_by_filename,네이버_일반,네이버_일반:m2/n0/d0 || 네이버_연재:m0/n2/d0 || 네이버_연재(광고수익):m0/n2/d0 || 네이버_장르:m0/n2/d0 || 네이버_장르(광고수익):m0/n2/d0,2,,S2 금액 4컬럼 출력은 아직 잠금 전입니다: 2행 헤더 flatten + 통합/선투자 중복 검산 전 S2 출력 금지,
